#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 120 196
# Band-Index    1
   0.00000    -45.129980    -45.129980
   0.00976    -45.129979    -45.129980
   0.01953    -45.129979    -45.129979
   0.02929    -45.129978    -45.129979
   0.03906    -45.129978    -45.129979
   0.04882    -45.129977    -45.129979
   0.05859    -45.129977    -45.129978
   0.06835    -45.129976    -45.129977
   0.07812    -45.129975    -45.129977
   0.08788    -45.129975    -45.129976
   0.09764    -45.129975    -45.129976
   0.10741    -45.129974    -45.129977
   0.11717    -45.129974    -45.129977
   0.12694    -45.129974    -45.129975
   0.13670    -45.129974    -45.129975
   0.14647    -45.129975    -45.129976
   0.15623    -45.129975    -45.129975
   0.16599    -45.129975    -45.129976
   0.17576    -45.129977    -45.129977
   0.18552    -45.129977    -45.129977
   0.18552    -45.129977    -45.129977
   0.19529    -45.129976    -45.129976
   0.20505    -45.129976    -45.129975
   0.21482    -45.129976    -45.129976
   0.22458    -45.129975    -45.129976
   0.23435    -45.129976    -45.129977
   0.24411    -45.129976    -45.129977
   0.25387    -45.129976    -45.129975
   0.26364    -45.129976    -45.129976
   0.27340    -45.129976    -45.129976
   0.28317    -45.129975    -45.129975
   0.29293    -45.129976    -45.129976
   0.30270    -45.129977    -45.129976
   0.31246    -45.129977    -45.129975
   0.32223    -45.129977    -45.129974
   0.33199    -45.129977    -45.129975
   0.34175    -45.129977    -45.129977
   0.35152    -45.129976    -45.129976
   0.36128    -45.129975    -45.129976
   0.37105    -45.129975    -45.129975
   0.37105    -45.129975    -45.129975
   0.38486    -45.129976    -45.129976
   0.39867    -45.129977    -45.129976
   0.41247    -45.129976    -45.129975
   0.42628    -45.129974    -45.129974
   0.44009    -45.129974    -45.129974
   0.45390    -45.129974    -45.129974
   0.46771    -45.129975    -45.129975
   0.48152    -45.129975    -45.129975
   0.49533    -45.129975    -45.129975
   0.50914    -45.129975    -45.129975
   0.52295    -45.129976    -45.129976
   0.53675    -45.129976    -45.129976
   0.55056    -45.129976    -45.129976
   0.56437    -45.129976    -45.129977
   0.57818    -45.129977    -45.129978
   0.59199    -45.129978    -45.129979
   0.60580    -45.129978    -45.129978
   0.61961    -45.129979    -45.129979
   0.63342    -45.129980    -45.129980
   0.63342    -45.129980    -45.129980
   0.64723    -45.129979    -45.129979
   0.66104    -45.129978    -45.129978
   0.67484    -45.129979    -45.129978
   0.68865    -45.129978    -45.129977
   0.70246    -45.129977    -45.129976
   0.71627    -45.129976    -45.129976
   0.73008    -45.129976    -45.129976
   0.74389    -45.129976    -45.129976
   0.75770    -45.129975    -45.129975
   0.77151    -45.129975    -45.129975
   0.78532    -45.129975    -45.129975
   0.79912    -45.129975    -45.129975
   0.81293    -45.129974    -45.129974
   0.82674    -45.129974    -45.129974
   0.84055    -45.129974    -45.129974
   0.85436    -45.129975    -45.129976
   0.86817    -45.129976    -45.129977
   0.88198    -45.129976    -45.129976
   0.89579    -45.129975    -45.129975
   0.89579    -45.129975    -45.129975
   0.90555    -45.129976    -45.129975
   0.91532    -45.129976    -45.129976
   0.92508    -45.129977    -45.129977
   0.93485    -45.129975    -45.129977
   0.94461    -45.129974    -45.129977
   0.95437    -45.129975    -45.129977
   0.96414    -45.129976    -45.129977
   0.97390    -45.129976    -45.129976
   0.98367    -45.129975    -45.129975
   0.99343    -45.129976    -45.129976
   1.00320    -45.129976    -45.129976
   1.01296    -45.129975    -45.129976
   1.02272    -45.129977    -45.129976
   1.03249    -45.129977    -45.129976
   1.04225    -45.129976    -45.129975
   1.05202    -45.129976    -45.129976
   1.06178    -45.129975    -45.129976
   1.07155    -45.129976    -45.129976
   1.08131    -45.129977    -45.129977
   1.08131    -45.129977    -45.129977
   1.09108    -45.129977    -45.129977
   1.10084    -45.129976    -45.129975
   1.11060    -45.129975    -45.129975
   1.12037    -45.129976    -45.129975
   1.13013    -45.129976    -45.129974
   1.13990    -45.129975    -45.129974
   1.14966    -45.129977    -45.129974
   1.15943    -45.129977    -45.129974
   1.16919    -45.129976    -45.129975
   1.17896    -45.129976    -45.129975
   1.18872    -45.129977    -45.129975
   1.19848    -45.129977    -45.129976
   1.20825    -45.129978    -45.129977
   1.21801    -45.129979    -45.129977
   1.22778    -45.129979    -45.129978
   1.23754    -45.129979    -45.129978
   1.24731    -45.129979    -45.129979
   1.25707    -45.129980    -45.129979
   1.26683    -45.129980    -45.129980
 
# Band-Index    2
   1.26683    -44.978794    -44.978794
   1.25707    -44.978794    -44.978794
   1.24731    -44.978793    -44.978794
   1.23754    -44.978792    -44.978794
   1.22778    -44.978793    -44.978793
   1.21801    -44.978792    -44.978794
   1.20825    -44.978791    -44.978793
   1.19848    -44.978791    -44.978792
   1.18872    -44.978790    -44.978791
   1.17896    -44.978789    -44.978791
   1.16919    -44.978789    -44.978791
   1.15943    -44.978789    -44.978792
   1.14966    -44.978789    -44.978791
   1.13990    -44.978788    -44.978790
   1.13013    -44.978789    -44.978790
   1.12037    -44.978790    -44.978790
   1.11060    -44.978790    -44.978790
   1.10084    -44.978789    -44.978790
   1.09108    -44.978791    -44.978791
   1.08131    -44.978791    -44.978791
   1.08131    -44.978791    -44.978791
   1.07155    -44.978791    -44.978790
   1.06178    -44.978790    -44.978789
   1.05202    -44.978790    -44.978791
   1.04225    -44.978789    -44.978790
   1.03249    -44.978790    -44.978792
   1.02272    -44.978790    -44.978791
   1.01296    -44.978790    -44.978790
   1.00320    -44.978791    -44.978791
   0.99343    -44.978790    -44.978791
   0.98367    -44.978790    -44.978790
   0.97390    -44.978790    -44.978790
   0.96414    -44.978791    -44.978790
   0.95437    -44.978791    -44.978789
   0.94461    -44.978791    -44.978788
   0.93485    -44.978791    -44.978789
   0.92508    -44.978791    -44.978791
   0.91532    -44.978791    -44.978791
   0.90555    -44.978790    -44.978790
   0.89579    -44.978789    -44.978789
   0.89579    -44.978789    -44.978789
   0.88198    -44.978791    -44.978790
   0.86817    -44.978791    -44.978791
   0.85436    -44.978790    -44.978790
   0.84055    -44.978788    -44.978788
   0.82674    -44.978789    -44.978789
   0.81293    -44.978789    -44.978789
   0.79912    -44.978790    -44.978789
   0.78532    -44.978790    -44.978789
   0.77151    -44.978790    -44.978789
   0.75770    -44.978790    -44.978790
   0.74389    -44.978790    -44.978790
   0.73008    -44.978791    -44.978791
   0.71627    -44.978790    -44.978791
   0.70246    -44.978791    -44.978791
   0.68865    -44.978792    -44.978793
   0.67484    -44.978793    -44.978793
   0.66104    -44.978792    -44.978793
   0.64723    -44.978793    -44.978793
   0.63342    -44.978794    -44.978794
   0.63342    -44.978794    -44.978794
   0.61961    -44.978793    -44.978793
   0.60580    -44.978793    -44.978792
   0.59199    -44.978793    -44.978793
   0.57818    -44.978793    -44.978792
   0.56437    -44.978791    -44.978791
   0.55056    -44.978791    -44.978790
   0.53675    -44.978791    -44.978791
   0.52295    -44.978790    -44.978790
   0.50914    -44.978790    -44.978790
   0.49533    -44.978789    -44.978790
   0.48152    -44.978789    -44.978790
   0.46771    -44.978789    -44.978790
   0.45390    -44.978789    -44.978789
   0.44009    -44.978789    -44.978789
   0.42628    -44.978788    -44.978788
   0.41247    -44.978790    -44.978790
   0.39867    -44.978791    -44.978791
   0.38486    -44.978790    -44.978791
   0.37105    -44.978789    -44.978789
   0.37105    -44.978789    -44.978789
   0.36128    -44.978790    -44.978790
   0.35152    -44.978791    -44.978791
   0.34175    -44.978791    -44.978791
   0.33199    -44.978789    -44.978791
   0.32223    -44.978788    -44.978791
   0.31246    -44.978789    -44.978791
   0.30270    -44.978790    -44.978791
   0.29293    -44.978790    -44.978790
   0.28317    -44.978790    -44.978790
   0.27340    -44.978791    -44.978790
   0.26364    -44.978791    -44.978791
   0.25387    -44.978790    -44.978790
   0.24411    -44.978791    -44.978790
   0.23435    -44.978792    -44.978790
   0.22458    -44.978790    -44.978789
   0.21482    -44.978791    -44.978790
   0.20505    -44.978789    -44.978790
   0.19529    -44.978790    -44.978791
   0.18552    -44.978791    -44.978791
   0.18552    -44.978791    -44.978791
   0.17576    -44.978791    -44.978791
   0.16599    -44.978790    -44.978789
   0.15623    -44.978790    -44.978790
   0.14647    -44.978790    -44.978790
   0.13670    -44.978790    -44.978789
   0.12694    -44.978790    -44.978788
   0.11717    -44.978791    -44.978789
   0.10741    -44.978792    -44.978789
   0.09764    -44.978791    -44.978789
   0.08788    -44.978791    -44.978789
   0.07812    -44.978791    -44.978790
   0.06835    -44.978792    -44.978791
   0.05859    -44.978793    -44.978791
   0.04882    -44.978794    -44.978792
   0.03906    -44.978793    -44.978793
   0.02929    -44.978794    -44.978792
   0.01953    -44.978794    -44.978793
   0.00976    -44.978794    -44.978794
   0.00000    -44.978794    -44.978794
 
# Band-Index    3
   0.00000    -44.663324    -44.663324
   0.00976    -44.663323    -44.663323
   0.01953    -44.663324    -44.663324
   0.02929    -44.663323    -44.663323
   0.03906    -44.663323    -44.663323
   0.04882    -44.663323    -44.663323
   0.05859    -44.663323    -44.663323
   0.06835    -44.663323    -44.663323
   0.07812    -44.663322    -44.663323
   0.08788    -44.663323    -44.663323
   0.09764    -44.663323    -44.663323
   0.10741    -44.663323    -44.663323
   0.11717    -44.663323    -44.663323
   0.12694    -44.663322    -44.663322
   0.13670    -44.663323    -44.663323
   0.14647    -44.663323    -44.663323
   0.15623    -44.663323    -44.663323
   0.16599    -44.663323    -44.663323
   0.17576    -44.663323    -44.663323
   0.18552    -44.663323    -44.663323
   0.18552    -44.663323    -44.663323
   0.19529    -44.663323    -44.663323
   0.20505    -44.663323    -44.663323
   0.21482    -44.663323    -44.663323
   0.22458    -44.663323    -44.663323
   0.23435    -44.663323    -44.663324
   0.24411    -44.663324    -44.663324
   0.25387    -44.663323    -44.663323
   0.26364    -44.663323    -44.663323
   0.27340    -44.663323    -44.663322
   0.28317    -44.663323    -44.663322
   0.29293    -44.663323    -44.663323
   0.30270    -44.663323    -44.663323
   0.31246    -44.663323    -44.663323
   0.32223    -44.663322    -44.663322
   0.33199    -44.663323    -44.663322
   0.34175    -44.663322    -44.663322
   0.35152    -44.663322    -44.663322
   0.36128    -44.663321    -44.663321
   0.37105    -44.663321    -44.663321
   0.37105    -44.663321    -44.663321
   0.38486    -44.663322    -44.663321
   0.39867    -44.663322    -44.663322
   0.41247    -44.663322    -44.663322
   0.42628    -44.663322    -44.663322
   0.44009    -44.663322    -44.663322
   0.45390    -44.663322    -44.663322
   0.46771    -44.663322    -44.663321
   0.48152    -44.663321    -44.663321
   0.49533    -44.663322    -44.663322
   0.50914    -44.663322    -44.663322
   0.52295    -44.663322    -44.663322
   0.53675    -44.663322    -44.663322
   0.55056    -44.663322    -44.663322
   0.56437    -44.663322    -44.663322
   0.57818    -44.663323    -44.663323
   0.59199    -44.663323    -44.663323
   0.60580    -44.663323    -44.663323
   0.61961    -44.663323    -44.663323
   0.63342    -44.663324    -44.663324
   0.63342    -44.663324    -44.663324
   0.64723    -44.663323    -44.663323
   0.66104    -44.663323    -44.663323
