#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  90 320
# Band-Index:    1
   0.00000    -45.272466    -45.272466
   0.01092    -45.272465    -45.272465
   0.02183    -45.272465    -45.272464
   0.03275    -45.272464    -45.272464
   0.04366    -45.272464    -45.272464
   0.05458    -45.272464    -45.272463
   0.06550    -45.272464    -45.272465
   0.07641    -45.272463    -45.272465
   0.08733    -45.272463    -45.272466
   0.09824    -45.272463    -45.272466
   0.10916    -45.272463    -45.272466
   0.12008    -45.272464    -45.272466
   0.13099    -45.272464    -45.272467
   0.14191    -45.272463    -45.272466
   0.15283    -45.272464    -45.272467
   0.15283    -45.272464    -45.272467
   0.16374    -45.272464    -45.272466
   0.17466    -45.272464    -45.272466
   0.18557    -45.272464    -45.272467
   0.19649    -45.272465    -45.272467
   0.20741    -45.272467    -45.272467
   0.21832    -45.272467    -45.272467
   0.22924    -45.272466    -45.272467
   0.24015    -45.272467    -45.272467
   0.25107    -45.272467    -45.272467
   0.26199    -45.272467    -45.272466
   0.27290    -45.272466    -45.272466
   0.28382    -45.272466    -45.272466
   0.29473    -45.272466    -45.272466
   0.30565    -45.272465    -45.272465
   0.30565    -45.272465    -45.272465
   0.32109    -45.272466    -45.272466
   0.33653    -45.272466    -45.272467
   0.35196    -45.272466    -45.272467
   0.36740    -45.272466    -45.272467
   0.38284    -45.272466    -45.272467
   0.39828    -45.272465    -45.272466
   0.41371    -45.272465    -45.272466
   0.42915    -45.272465    -45.272465
   0.44459    -45.272464    -45.272464
   0.46003    -45.272464    -45.272464
   0.47546    -45.272464    -45.272464
   0.49090    -45.272464    -45.272464
   0.50634    -45.272466    -45.272465
   0.52178    -45.272466    -45.272466
   0.52178    -45.272466    -45.272466
   0.53722    -45.272465    -45.272466
   0.55265    -45.272464    -45.272464
   0.56809    -45.272464    -45.272464
   0.58353    -45.272464    -45.272464
   0.59897    -45.272464    -45.272464
   0.61440    -45.272465    -45.272465
   0.62984    -45.272466    -45.272465
   0.64528    -45.272466    -45.272466
   0.66072    -45.272467    -45.272466
   0.67615    -45.272467    -45.272466
   0.69159    -45.272467    -45.272466
   0.70703    -45.272466    -45.272466
   0.72247    -45.272466    -45.272466
   0.73791    -45.272465    -45.272465
   0.73791    -45.272465    -45.272465
   0.74882    -45.272466    -45.272466
   0.75974    -45.272466    -45.272466
   0.77065    -45.272466    -45.272466
   0.78157    -45.272466    -45.272467
   0.79249    -45.272466    -45.272467
   0.80340    -45.272467    -45.272467
   0.81432    -45.272467    -45.272466
   0.82523    -45.272467    -45.272467
   0.83615    -45.272467    -45.272467
   0.84707    -45.272466    -45.272465
   0.85798    -45.272467    -45.272464
   0.86890    -45.272466    -45.272464
   0.87981    -45.272466    -45.272464
   0.89073    -45.272467    -45.272464
   0.89073    -45.272467    -45.272464
   0.90165    -45.272466    -45.272463
   0.91256    -45.272467    -45.272464
   0.92348    -45.272466    -45.272464
   0.93439    -45.272466    -45.272463
   0.94531    -45.272466    -45.272463
   0.95623    -45.272466    -45.272463
   0.96714    -45.272465    -45.272463
   0.97806    -45.272465    -45.272464
   0.98898    -45.272463    -45.272464
   0.99989    -45.272464    -45.272464
   1.01081    -45.272463    -45.272464
   1.02172    -45.272464    -45.272465
   1.03264    -45.272465    -45.272465
   1.04356    -45.272466    -45.272466
 
# Band-Index:    2
   1.04356    -45.019883    -45.019883
   1.03264    -45.019882    -45.019882
   1.02172    -45.019882    -45.019881
   1.01081    -45.019881    -45.019881
   0.99989    -45.019881    -45.019881
   0.98898    -45.019881    -45.019880
   0.97806    -45.019881    -45.019882
   0.96714    -45.019880    -45.019882
   0.95623    -45.019880    -45.019883
   0.94531    -45.019880    -45.019883
   0.93439    -45.019880    -45.019883
   0.92348    -45.019881    -45.019883
   0.91256    -45.019881    -45.019884
   0.90165    -45.019880    -45.019883
   0.89073    -45.019881    -45.019884
   0.89073    -45.019881    -45.019884
   0.87981    -45.019881    -45.019883
   0.86890    -45.019881    -45.019883
   0.85798    -45.019881    -45.019884
   0.84707    -45.019882    -45.019884
   0.83615    -45.019884    -45.019884
   0.82523    -45.019884    -45.019884
   0.81432    -45.019883    -45.019884
   0.80340    -45.019884    -45.019884
   0.79249    -45.019884    -45.019884
   0.78157    -45.019883    -45.019883
   0.77065    -45.019883    -45.019883
   0.75974    -45.019883    -45.019883
   0.74882    -45.019883    -45.019883
   0.73791    -45.019882    -45.019882
   0.73791    -45.019882    -45.019882
   0.72247    -45.019883    -45.019883
   0.70703    -45.019883    -45.019883
   0.69159    -45.019883    -45.019884
   0.67615    -45.019883    -45.019883
   0.66072    -45.019883    -45.019884
   0.64528    -45.019882    -45.019883
   0.62984    -45.019882    -45.019883
   0.61440    -45.019882    -45.019882
   0.59897    -45.019881    -45.019881
   0.58353    -45.019881    -45.019881
   0.56809    -45.019881    -45.019881
   0.55265    -45.019881    -45.019881
   0.53722    -45.019883    -45.019882
   0.52178    -45.019883    -45.019883
   0.52178    -45.019883    -45.019883
   0.50634    -45.019882    -45.019883
   0.49090    -45.019881    -45.019881
   0.47546    -45.019881    -45.019881
   0.46003    -45.019881    -45.019881
   0.44459    -45.019881    -45.019881
   0.42915    -45.019882    -45.019882
   0.41371    -45.019883    -45.019882
   0.39828    -45.019883    -45.019882
   0.38284    -45.019883    -45.019883
