#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  60 312
# Band-Index    1
   0.00000    -44.834349    -44.834349
   0.01617    -44.834351    -44.834351
   0.03234    -44.834352    -44.834352
   0.04851    -44.834351    -44.834351
   0.06467    -44.834351    -44.834351
   0.08084    -44.834351    -44.834351
   0.09701    -44.834351    -44.834351
   0.11318    -44.834351    -44.834351
   0.12935    -44.834351    -44.834351
   0.14552    -44.834352    -44.834352
   0.14552    -44.834352    -44.834352
   0.16168    -44.834351    -44.834351
   0.17785    -44.834351    -44.834351
   0.19402    -44.834352    -44.834352
   0.21019    -44.834351    -44.834351
   0.22636    -44.834350    -44.834350
   0.24253    -44.834349    -44.834349
   0.25869    -44.834349    -44.834349
   0.27486    -44.834349    -44.834349
   0.29103    -44.834349    -44.834349
   0.29103    -44.834349    -44.834349
   0.31390    -44.834348    -44.834348
   0.33676    -44.834349    -44.834349
   0.35963    -44.834351    -44.834351
   0.38249    -44.834351    -44.834351
   0.40536    -44.834351    -44.834351
   0.42822    -44.834350    -44.834350
   0.45109    -44.834351    -44.834351
   0.47396    -44.834351    -44.834351
   0.49682    -44.834349    -44.834349
   0.49682    -44.834349    -44.834349
   0.51969    -44.834351    -44.834351
   0.54255    -44.834351    -44.834351
   0.56542    -44.834350    -44.834350
   0.58828    -44.834351    -44.834351
   0.61115    -44.834351    -44.834351
   0.63401    -44.834351    -44.834351
   0.65688    -44.834349    -44.834349
   0.67975    -44.834348    -44.834348
   0.70261    -44.834349    -44.834349
   0.70261    -44.834349    -44.834349
   0.71878    -44.834349    -44.834349
   0.73495    -44.834349    -44.834349
   0.75112    -44.834349    -44.834349
   0.76729    -44.834350    -44.834350
   0.78345    -44.834351    -44.834351
   0.79962    -44.834352    -44.834352
   0.81579    -44.834351    -44.834351
   0.83196    -44.834351    -44.834351
   0.84813    -44.834352    -44.834352
   0.84813    -44.834352    -44.834352
   0.86430    -44.834351    -44.834351
   0.88046    -44.834351    -44.834351
   0.89663    -44.834351    -44.834351
   0.91280    -44.834351    -44.834351
   0.92897    -44.834351    -44.834351
   0.94514    -44.834351    -44.834351
   0.96131    -44.834352    -44.834352
   0.97747    -44.834351    -44.834351
   0.99364    -44.834349    -44.834349
 
# Band-Index    2
   0.99364    -44.743436    -44.743436
   0.97747    -44.743438    -44.743437
   0.96131    -44.743439    -44.743439
   0.94514    -44.743439    -44.743439
