model,feature_set,random_seed,test_size,feature_dimension,r2,mae,rmse,mape,test_pred_1,test_pred_2,test_pred_3,test_in_range,r2_above_07,conditions_met
CatBoost,maccs,350,0.2,167,0.956674796,2.651501709,2.679241695,3.39252E+15,16.44276025,17.05226216,15.87635102,TRUE,TRUE,TRUE
CatBoost,maccs,300,0.2,167,0.938624369,2.641090245,3.079709327,2.77736E+15,11.97557279,14.27329894,14.24752897,TRUE,TRUE,TRUE
XGBoost,descriptors,350,0.2,217,0.925778554,2.336973861,3.506761996,2.36073E+15,37.53436279,37.53436279,37.53870392,TRUE,TRUE,TRUE
RandomForest,maccs,275,0.2,167,0.911436669,3.1272,3.425264469,1.1394E+15,14.55392,14.703,14.7741,TRUE,TRUE,TRUE
XGBoost,descriptors,300,0.2,217,0.895411531,2.976309338,4.020255406,4.96482E+15,37.53311539,37.53356171,37.53801727,TRUE,TRUE,TRUE
RandomForest,maccs,300,0.2,167,0.878046258,4.3112725,4.341195133,3.9963E+15,18.14221,17.73702,18.19645,TRUE,TRUE,TRUE
RandomForest,maccs,275,0.3,167,0.864662962,3.203135,3.892052386,1.28765E+15,12.18215,12.56249,12.749,TRUE,TRUE,TRUE
RandomForest,rdkit,300,0.2,512,0.861538691,3.695115,4.625683978,3.22623E+15,13.48459,14.28274,10.94023,TRUE,TRUE,TRUE
CatBoost,maccs,300,0.3,167,0.852726322,3.719001554,4.096044062,2.02077E+15,14.27127804,15.48510488,18.01645681,TRUE,TRUE,TRUE
CatBoost,maccs,275,0.2,167,0.846042973,3.618064001,4.516134812,2.39967E+15,13.56437817,14.23900525,13.61013813,TRUE,TRUE,TRUE
CatBoost,maccs,400,0.3,167,0.837962378,3.290202332,4.233410992,0.653875954,10.80937869,10.17276816,12.28052077,TRUE,TRUE,TRUE
XGBoost,descriptors,300,0.3,217,0.825844091,3.58423925,4.454214842,1.13747E+15,37.53395844,37.53395844,37.5387764,TRUE,TRUE,TRUE
RandomForest,maccs,400,0.3,167,0.814873275,3.57548,4.524984143,0.804850661,14.18138,14.7352,14.33932,TRUE,TRUE,TRUE
